立法院代碼,法務部代碼,法律名稱,舊名稱,法務部分類
09154017,G0350033,廢鐵進口及驗放辦法,,廢止法規＞財政部
01528016,G0350034,平衡稅及反傾銷稅課徵實施辦法,,行政＞財政部＞關務目
01509002,G0350035,財政部主管財務罰鍰提獎查緝機關分配細則,,廢止法規＞財政部
01528036,G0350036,免稅商店設置管理辦法,,行政＞財政部＞關務目
01530002,G0350038,海關緝私器械使用辦法,,行政＞財政部＞關務目
09154020,G0350039,展覽物品進出口通關辦法,,廢止法規＞財政部
01599002,G0350040,關務人員職期調任互調或輪調辦法,關務人員職期調任、互調或輪調辦法,行政＞財政部＞關務目
01528020,G0350041,進口貨物先放後稅實施辦法,,行政＞財政部＞關務目
01599003,G0350042,關務人員人事條例施行細則,,行政＞財政部＞關務目
01599005,G0350043,關務人員獎懲辦法,,行政＞財政部＞關務目
01528014,G0350044,貨物通關自動化實施辦法,,行政＞財政部＞關務目
01176008,G0350045,海關查扣著作權或製版權侵害物實施辦法,,行政＞經濟部＞智慧財產權目
01963001,G0350046,民間機構參與交通建設進口貨物免徵及分期繳納關稅辦法,,行政＞財政部＞關務目
01528041,G0350047,進口貨物原產地認定標準,進口貨品原產地認定標準,行政＞財政部＞關務目
01528035,G0350048,通關網路經營許可及管理辦法,,行政＞財政部＞關務目
01528030,G0350049,物流中心貨物通關辦法,,行政＞財政部＞關務目
01235002,G0350050,離島地區進口商品免徵關稅實施辦法,澎湖金門馬祖地區進口商品免徵關稅實施辦法,行政＞財政部＞關務目
01958004,G0350054,民間參與重大公共建設進口貨物免徵及分期繳納關稅辦法,,行政＞財政部＞關務目
01528033,G0350055,海關事後稽核實施辦法,,行政＞財政部＞關務目
